Gene name,Mutated samples,Samples tested
KRAS_ENST00000311936,5959,8330
KRAS,5505,8330
KRAS_ENST00000557334,5505,8330
KRAS_ENST00000556131,5382,8330
TP53,1556,2940
TP53_ENST00000610292,1170,2940
TP53_ENST00000420246,1170,2940
TP53_ENST00000619485,1170,2940
TP53_ENST00000617185,1170,2940
TP53_ENST00000610538,1170,2940
TP53_ENST00000445888,1170,2940
TP53_ENST00000620739,1170,2940
TP53_ENST00000413465,1170,2940
TP53_ENST00000622645,1170,2940
TP53_ENST00000455263,1170,2940
TP53_ENST00000615910,1168,2940
TP53_ENST00000359597,1168,2940
TP53_ENST00000510385,1102,2940
TP53_ENST00000610623,1102,2940
TP53_ENST00000504290,1102,2940
TP53_ENST00000618944,1102,2940
TP53_ENST00000504937,1102,2940
TP53_ENST00000619186,1102,2940
SMAD4,526,2828
CDKN2A_ENST00000304494,433,2912
LRP1B,402,1402
SMAD4_ENST00000398417,387,2828
CSMD1_ENST00000520002,385,1289
CSMD1_ENST00000400186,385,1289
CSMD1_ENST00000602723,385,1289
CSMD1,385,1289
CSMD1_ENST00000602557,385,1289
SMAD4_ENST00000588745,380,2828
PCDH15_ENST00000373965,376,1401
PCDH15_ENST00000495484,376,1401
PCDH15_ENST00000414778,376,1401
PCDH15_ENST00000621708,376,1401
PCDH15_ENST00000644397,376,1401
PCDH15_ENST00000616114,376,1401
PCDH15_ENST00000614895,376,1401
PCDH15_ENST00000395446,374,1401
PCDH15_ENST00000409834,374,1401
PCDH15_ENST00000613657,374,1401
PCDH15_ENST00000612394,374,1401
PCDH15_ENST00000395440,374,1401
PCDH15_ENST00000395445,374,1401
PCDH15_ENST00000395442,374,1401
PCDH15_ENST00000617271,374,1401
PCDH15_ENST00000395438,374,1401
ERBB4,374,2040
NRXN3_ENST00000634499,372,1281
PCDH15_ENST00000395432,372,1401
PCDH15_ENST00000320301,372,1401
PCDH15_ENST00000395433,372,1401
PCDH15,372,1401
PCDH15_ENST00000617051,372,1401
PCDH15_ENST00000361849,372,1401
PCDH15_ENST00000622048,372,1401
PCDH15_ENST00000395430,372,1401
PCDH15_ENST00000437009,372,1401
NRXN3,371,1281
EYS,370,1281
EYS_ENST00000503581,370,1281
NRXN3_ENST00000554719,370,1281
NRXN1,369,1311
ERBB4_ENST00000436443,369,2040
NRXN1_ENST00000406316,369,1311
CNTNAP2,369,1281
NRXN1_ENST00000401669,368,1311
NRXN1_ENST00000405472,368,1311
NRXN1_ENST00000625672,368,1311
NRXN1_ENST00000630543,368,1311
RBFOX1_ENST00000641259,367,1281
RBFOX1_ENST00000547372,364,1281
RBFOX1_ENST00000553186,364,1281
CSMD3,364,1289
RBFOX1,364,1281
CSMD3_ENST00000455883,364,1289
RBFOX1_ENST00000550418,364,1281
CSMD3_ENST00000343508,362,1289
CSMD1_ENST00000537824,361,1289
CTNNA2_ENST00000466387,361,1401
PCDH15_ENST00000373955,361,1401
CTNNA2_ENST00000629316,360,1401
CTNNA2_ENST00000496558,360,1401
RBFOX1_ENST00000552089,359,1281
